employee_id,department,level,tenure_years,salary,performance_tier,flight_risk_score,ai_displacement_score,skills,manager_id,employment_type,location
EMP10000,Human Resources,Analyst,2.1,74014,Meets,0.23,0.57,"Project Management, Machine Learning, Power BI",EMP9935,FTE,Vancouver
EMP10001,Technology,Analyst,0.1,74398,Meets,0.72,0.29,"Risk Assessment, Agile",EMP4611,FTE,Toronto
EMP10002,Strategy & Analytics,Senior Manager,1.6,153366,Developing,0.12,0.18,"Power BI, Compliance, SQL, Machine Learning, Change Management",EMP6514,FTE,Vancouver
EMP10003,Operations,Senior Analyst,2.7,94629,Meets,0.03,0.77,"Cloud Computing, Machine Learning",EMP7201,FTE,Toronto
EMP10004,Compliance & Legal,Director,4.2,178526,Meets,0.2,0.45,"SQL, Python, Power BI",EMP4733,FTE,Remote
EMP10005,Strategy & Analytics,Director,0.2,215466,Meets,0.33,0.42,"Excel Advanced, Stakeholder Communication, Natural Language Processing, Cloud Computing, Machine Learning",EMP5374,FTE,Montreal
EMP10006,Technology,Manager,3.6,106469,Meets,0.36,0.34,"Stakeholder Communication, Cloud Computing, Risk Assessment",EMP5422,Contract,Montreal
EMP10007,Compliance & Legal,Manager,2.2,109497,Exceeds,0.5,0.34,"Financial Modelling, Python",EMP6168,FTE,Toronto
EMP10008,Sales & Distribution,Manager,0.7,128076,Exceeds,0.3,0.66,"Natural Language Processing, Change Management, Cloud Computing",EMP8517,FTE,Toronto
EMP10009,Customer Experience,Manager,6.6,102591,Exceeds,0.84,0.71,"Change Management, Excel Advanced, Machine Learning, SQL, Compliance",EMP9085,FTE,Toronto
EMP10010,Technology,Manager,1.7,111381,Exceeds,0.59,0.39,"SQL, Change Management, Risk Assessment, Process Automation, Financial Modelling",EMP9669,FTE,Montreal
EMP10011,Sales & Distribution,Manager,6.4,119644,Developing,0.06,0.43,"Power BI, Machine Learning, Project Management, Risk Assessment",EMP3591,FTE,Remote
EMP10012,Strategy & Analytics,Analyst,0.1,57157,Meets,0.49,0.26,"Strategic Planning, Machine Learning, Agile",EMP5889,FTE,Vancouver
EMP10013,Operations,Senior Analyst,2.4,93888,Developing,0.34,0.67,"Power BI, Natural Language Processing",EMP1319,FTE,Vancouver
EMP10014,Sales & Distribution,Senior Manager,11.9,163284,Meets,0.37,0.55,"SQL, Strategic Planning, Excel Advanced",EMP8962,FTE,Remote
EMP10015,Finance & Risk,Analyst,7.4,72921,Exceeds,0.62,0.57,"Compliance, Agile, Machine Learning",EMP9835,FTE,Montreal
EMP10016,Customer Experience,Senior Analyst,7.7,96518,Exceeds,0.4,0.54,"Cloud Computing, Strategic Planning, Python, Machine Learning",EMP4681,FTE,Toronto
EMP10017,Compliance & Legal,Manager,12.9,111312,Low,0.22,0.62,"Financial Modelling, SQL",EMP1514,Contract,Toronto
EMP10018,Operations,Manager,14.8,108812,Meets,0.04,0.73,"Natural Language Processing, Financial Modelling, Change Management",EMP8749,FTE,Toronto
EMP10019,Technology,Senior Analyst,0.2,81966,Meets,0.34,0.44,"Python, Machine Learning, Data Analysis, Risk Assessment, Excel Advanced",EMP6559,FTE,Toronto
EMP10020,Operations,Manager,6.5,108317,Developing,0.06,0.55,"Compliance, Cloud Computing, Machine Learning",EMP2235,FTE,Remote
EMP10021,Compliance & Legal,Analyst,3.5,56805,Top,0.19,0.65,"SQL, Financial Modelling",EMP3724,FTE,Vancouver
EMP10022,Strategy & Analytics,Director,0.1,195604,Developing,0.85,0.35,"Change Management, Compliance",EMP8454,FTE,Montreal
EMP10023,Customer Experience,Senior Manager,2.2,167785,Exceeds,0.4,0.54,"Project Management, Risk Assessment, Strategic Planning, Machine Learning, Data Analysis",EMP9883,FTE,Toronto
EMP10024,Technology,Senior Analyst,4.9,95430,Top,0.78,0.37,"Python, SQL, Agile",EMP4044,FTE,Toronto
EMP10025,Strategy & Analytics,Senior Analyst,10.2,97510,Top,0.07,0.36,"Python, SQL, Risk Assessment",EMP9565,FTE,Toronto
EMP10026,Human Resources,Senior Analyst,0.4,79040,Meets,0.66,0.29,"Process Automation, Cloud Computing, Stakeholder Communication",EMP2188,FTE,Montreal
EMP10027,Compliance & Legal,Analyst,0.8,65974,Meets,0.47,0.36,"Project Management, Excel Advanced, Cloud Computing, Python",EMP5002,FTE,Toronto
EMP10028,Customer Experience,Manager,6.2,122737,Meets,0.08,0.81,"Process Automation, Machine Learning",EMP3200,FTE,Remote
EMP10029,Customer Experience,Analyst,2.1,60304,Meets,0.42,0.91,"Power BI, Risk Assessment, Strategic Planning",EMP5325,FTE,Toronto
EMP10030,Sales & Distribution,Analyst,3.1,58904,Meets,0.4,0.6,"Python, Data Analysis, Stakeholder Communication, Change Management",EMP3143,FTE,Toronto
EMP10031,Customer Experience,Manager,13.8,132020,Meets,0.19,0.53,"Machine Learning, SQL",EMP3442,FTE,Calgary
EMP10032,Compliance & Legal,Analyst,2.2,72022,Developing,0.36,0.3,"Excel Advanced, Python, Cloud Computing, Stakeholder Communication",EMP4441,FTE,Montreal
EMP10033,Operations,Manager,5.4,119952,Exceeds,0.54,0.85,"Financial Modelling, Stakeholder Communication, Change Management",EMP3900,Contract,Toronto
EMP10034,Customer Experience,Senior Analyst,6.1,92425,Top,0.6,0.47,"Compliance, Stakeholder Communication, Change Management",EMP2771,FTE,Toronto
EMP10035,Finance & Risk,Analyst,7.5,72341,Top,0.28,0.77,"Process Automation, Financial Modelling, Machine Learning, Data Analysis",EMP4164,FTE,Toronto
EMP10036,Technology,Senior Manager,7.1,166150,Meets,0.51,0.32,"Power BI, Data Analysis, Python, Project Management, SQL",EMP5349,FTE,Montreal
EMP10037,Operations,Senior Manager,0.2,151295,Meets,0.07,0.61,"Change Management, Risk Assessment",EMP5173,FTE,Vancouver
EMP10038,Finance & Risk,Senior Manager,3.3,161949,Exceeds,0.39,0.64,"Excel Advanced, Agile, Python",EMP6409,FTE,Montreal
EMP10039,Technology,Director,3.4,197031,Meets,0.38,0.48,"Power BI, Change Management, Excel Advanced, Project Management, Compliance",EMP3085,FTE,Montreal
EMP10040,Operations,Senior Manager,1.4,150363,Developing,0.23,0.82,"Change Management, Data Analysis, Project Management, Cloud Computing",EMP4443,FTE,Montreal
EMP10041,Human Resources,Senior Analyst,0.9,78910,Meets,0.83,0.43,"Strategic Planning, Natural Language Processing, Change Management",EMP3780,FTE,Toronto
EMP10042,Human Resources,Manager,4.3,114686,Developing,0.38,0.3,"Process Automation, Financial Modelling, Change Management",EMP4262,FTE,Toronto
EMP10043,Sales & Distribution,Manager,0.6,101610,Exceeds,0.27,0.38,"Agile, Risk Assessment, Excel Advanced, Cloud Computing, Natural Language Processing",EMP9099,FTE,Toronto
EMP10044,Human Resources,Director,2.6,189925,Exceeds,0.4,0.4,"Agile, Financial Modelling",EMP3881,FTE,Montreal
